Sample,Sample_Acronym,Site,Region,Depth_Class,Depth_m,Lat,Lon,Collection_Method,Sample_or_control,Filter_Date,Extraction_Date,Current_Velocity_no_m,Temp_no_m,Temp_9_m,light,diffuse_attenuation_coefficient,primary_productivity,dissolved_oxygen,nitrate,phosphate,pH,chlorophyll,chlorophyll_no_m,calcite
Harrison_Reef_Midwater,HR_M,Harrison_Reef,Malibu,Midwater,3.25,34.04319,-118.942423,Niskin,Sample,9/7/2021,26/7/2021,,,16.411892,22.1407308,0.18,0.037462,256.7423365,4.555336,0.773529,8.2049999,1.120117,,0.00075
Harrison_Reef_Bottom,HR_B,Harrison_Reef,Malibu,Benthos,6.5,34.0432,-118.942424,Niskin,Sample,9/7/2021,26/7/2021,0.193505,16.233458,16.233458,12.3354791,0.18,0.037462,256.565826,4.048652,0.730574,8.2049999,1.026386,1.026386,0.00075
Big_Kelp_Surface,BK_S,Big_Kelp,Malibu,Surface,0,34.004484,-118.793672,Nalgene,Sample,9/7/2021,26/7/2021,0.1669531,16.587511,16.587511,40.20399857,0.279,0.048497,257.20701,4.485704,0.775175,8.2060003,1.271315,1.271315,0.000926
Big_Kelp_Midwater,BK_M,Big_Kelp,Malibu,Midwater,3.5,34.004485,-118.793673,Niskin,Sample,9/7/2021,26/7/2021,,,16.587511,15.14344409,0.279,0.036368,256.6829115,4.485704,0.775175,8.2060003,1.129665,,0.000926
Big_Kelp_Bottom,BK_B,Big_Kelp,Malibu,Benthos,7,34.004486,-118.793674,Niskin,Sample,9/7/2021,26/7/2021,0.177785,16.459586,16.459586,5.704007243,0.279,0.036368,256.158813,3.805008,0.716896,8.2060003,0.988015,0.988015,0.000926
Starlight_Surface,SL_S,Starlight,Catalina,Surface,0,33.475066,-118.544233,Nalgene,Sample,11/8/2021,12/8/2021,0.1422806,17.136202,17.136202,40.68600082,0.084,0.033815,255.99392,3.303573,0.692317,8.2069998,0.911746,0.911746,0.00024
Starlight_Midwater,SL_M,Starlight,Catalina,Midwater,6,33.475066,-118.544233,Niskin,Sample,11/8/2021,12/8/2021,,,17.136202,24.58007929,0.084,0.030885,255.56181,3.303573,0.692317,8.2069998,0.87172,,0.00024
Starlight_Bottom,SL_B,Starlight,Catalina,Benthos,12,33.475066,-118.544233,Niskin,Sample,11/8/2021,12/8/2021,0.136049,16.820719,16.820719,14.84983252,0.084,0.030885,255.1297,3.09604,0.668215,8.2069998,0.831694,0.831694,0.00024
West_Quarry_Surface,WQ_S,West_Quarry,Catalina,Surface,0,33.442686,-118.470459,Nalgene,Sample,11/8/2021,12/8/2021,0.174191,17.192081,17.192081,40.9640007,0.095,0.035014,256.089761,3.352779,0.697628,8.2069998,0.93983,0.93983,0.000341
West_Quarry_Midwater,WQ_M,West_Quarry,Catalina,Midwater,10.65,33.442686,-118.470459,Niskin,Sample,11/8/2021,12/8/2021,,,9.450925,14.89534208,0.095,0,157.8916995,25.395149,2.430449,8.2069998,0.4751705,,0.000341
West_Quarry_Bottom,WQ_B,West_Quarry,Catalina,Benthos,21.3,33.442686,-118.470459,Niskin,Sample,11/8/2021,12/8/2021,0.113543,,9.450925,5.416248702,0.095,0,59.693638,25.395149,2.430449,8.2069998,0.010511,0.010511,0.000341
Empires_Landing_Surface,EL_S,Empires_Landing,Catalina,Surface,0,33.4290728,-118.4364122,Nalgene,Sample,11/8/2021,12/8/2021,0.174191,17.192081,17.192081,40.9640007,0.095,0.035014,256.089761,3.352779,0.697628,8.2069998,0.93983,0.93983,0.000341
Empires_Landing_Midwater,EL_M,Empires_Landing,Catalina,Midwater,6.5,33.4290728,-118.4364122,Niskin,Sample,11/8/2021,12/8/2021,,,17.192081,22.09293059,0.095,0,157.8916995,3.352779,0.697628,8.2069998,0.4751705,,0.000341
Empires_Landing_Bottom,EL_B,Empires_Landing,Catalina,Benthos,13,33.4290728,-118.4364122,Niskin,Sample,11/8/2021,12/8/2021,0.113543,9.450925,9.450925,11.91528106,0.095,0,59.693638,25.395149,2.430449,8.2069998,0.010511,0.010511,0.000341
Field_Control_1,Field_Control_1,,,,,,,,Control,9/7/2021,26/7/2021,,,,,,,,,,,,,
Field_Control_2,Field_Control_2,,,,,,,,Control,9/7/2021,26/7/2021,,,,,,,,,,,,,
Extraction_Blank_1,Extraction_Blank_1,,,,,,,,Control,,26/7/2021,,,,,,,,,,,,,
Extraction_Blank_2,Extraction_Blank_2,,,,,,,,Control,,15/7/2021,,,,,,,,,,,,,
